5, 雨のち曇, 25.7, 25.0
6, 曇のち晴, 27.8, 23.9
5, 曇のち晴, 27.1, 23.3
6, 晴, 27.2, 22.3
5, 雨のち晴, 24.5, 22.4
6, 晴のち雨, 27.8, 22.0
5, 雨, 23.7, 21.2
5, 晴, 29.6, 24.6
6, 晴, 29.4, 24.5
5, 曇のち晴, 26.4, 23.4
6, 晴, 27.1, 20.7
5, 雨, 19.6, 16.9
6, 雨, 17.8, 16.1
5, 晴, 30.5, 25.6
6, 晴, 27.8, 25.0
5, 曇のち雨, 25.9, 21.8
6, 雨のち晴, 29.8, 24.3
5, 曇のち雨, 19.6, 17.7
5, 曇のち雨, 19.6, 17.7
6, 曇一時雨, 22.4, 19.2
5, 晴, 31.3, 27.1
6, 晴一時雨, 30.8, 26.6
5, 晴のち雨, 26.0, 21.5
6, 雨のち曇, 25.1, 22.2
5, 晴のち雨, 26.0, 21.5
6, 雨のち曇, 25.1, 22.2
5, 曇, 22.3, 17.5
6, 晴, 23.9, 18.7
5, 晴のち曇, 30.7, 26.1
6, 曇のち雨, 29.8, 26.0
5, 曇, 24.6, 22.0
5, 曇, 24.6, 22.0
6, 曇, 24.5, 21.0
5, 晴のち雨, 27.0, 21.0
6, 雨のち曇, 22.1, 18.0
